,A1BG,A1CF,A2M,A4GALT,AAAS,AACS,AADAC,AADAT,AAGAB,AAK1,AAR2,AARS,AARS2,AARSD1,AATF,ABAT,ABCA1,ABCA10,ABCA3,ABCA6,ABCA7,ABCA8,ABCA9,ABCB10,ABCB11,ABCB8,ABCB9,ABCC1,ABCC10,ABCC4,ABCC5,ABCC9,ABCD1,ABCD3,ABCD4,ABCF1,ABCF2,ABCF3,ABCG1,ABCG4,ABCG5,ABCG8,ABHD11,ABHD12,ABHD14A,ABHD14B,ABHD15,ABHD16A,ABHD17C,ABHD2
TCGA-FV-A2QR,0.536020097,-0.914842021,-0.611174058,-0.479687274,-0.780899349,-0.284697662,-0.459041887,-0.601467751,-0.196395931,-1.152300057,-1.177634455,-0.02450425,-0.534571659,-0.74206895,-1.049605735,0.999787302,-0.234668478,0.320581996,-0.428128977,-0.021146777,0.245879042,0.021711506,-0.00541814,1.064630029,-0.372256971,1.109508084,-0.713490601,-0.939738536,-0.456811202,0.588163458,-1.000327784,0.649611404,1.598196615,-0.249883901,0.056612134,-1.020313081,0.10912916,-0.698239051,-0.585561436,0.292205726,-0.744289696,-0.647497515,0.680323108,0.059716072,-0.736120206,-0.120778753,0.6625728,-0.499274531,-0.258126184,-0.397930435
TCGA-DD-A118,-1.11966381,-0.317222862,0.078952044,-0.365409053,-0.592903745,0.028891607,-1.293269197,-0.833947648,0.205287182,1.167737681,1.6348204,0.585778554,0.621424033,-0.805682612,-1.959671999,-1.330990594,0.331099113,-0.872785351,2.094805453,-0.869922578,-0.84286066,1.092355029,-0.600383508,-0.225271134,-1.000807306,0.631167615,-0.058683476,0.396612685,0.546903986,-0.765679889,-0.779349573,-0.934722074,0.759904606,-0.921304036,-0.841279601,0.11676321,-0.879304118,-0.149633302,1.492444997,0.395367501,-1.199146831,-1.463781772,0.013316061,0.519409609,-0.373841329,-1.052283877,-0.93491235,0.664538652,-0.456369166,1.918408562
TCGA-DD-A11A,-0.025653139,-0.114547116,-0.802967791,-0.504496898,-1.051011761,-0.29677797,-0.175533213,0.080222806,-0.936596147,0.29772353,0.713544143,0.800011925,2.366508187,1.70064948,2.321501793,3.289304749,-0.940516886,-0.370467005,-0.784814835,0.649668498,-0.214736651,0.096888298,-0.596057236,0.24214081,1.47251393,-1.509663348,0.324832174,-0.880908472,-1.012583052,0.857087375,-1.080457928,-0.021367437,-0.431819931,0.790780756,-0.236785179,0.814750626,-0.032252987,0.051702839,-0.665323902,-0.883838504,0.577932019,1.254247094,1.118052668,0.561264059,1.43890737,-1.293676316,0.831743396,1.207710938,-1.291775458,-0.217680403
TCGA-BD-A3EP,0.670447498,-1.240648731,-0.186716519,-0.160596428,0.40028135,-0.284697662,0.293797716,-0.720718564,0.296600194,-0.706454421,0.371079491,-0.374433559,0.045194256,1.154103065,1.722402999,-0.872193881,-0.064055338,0.217690551,-0.420359582,-0.70543714,0.213492672,-0.740758959,0.080077229,-0.875129541,-0.648871529,0.395019927,0.324832174,0.374969917,0.981884334,0.236123193,0.444933935,-0.873334962,0.12315109,-0.875748979,-0.503048179,0.964035761,1.063148214,0.263049771,-0.431787167,2.241963266,-0.548690406,-0.879782782,-0.578108143,-0.110347023,1.212737006,-0.587434668,0.039874357,0.208592889,0.268146308,-0.467007219
TCGA-BC-A10W,-1.144927908,0.036858504,-0.377080697,2.029400613,-0.760596647,1.984072768,-0.605087239,-0.708983913,-0.869288102,2.048297459,-0.188456303,0.444411173,1.180616054,2.567842616,0.685265413,-0.892224389,0.593750647,-0.961514771,1.989847991,-0.354844248,-0.714687844,-0.890551521,-0.738000151,-0.896240981,-0.967938503,-1.010344609,-0.070842756,1.970197337,-0.859842361,1.417892128,1.602223389,-0.868760442,-0.090873609,4.032040831,1.012643065,0.558774262,0.876530876,0.141004869,0.274947122,-0.543404648,-0.517084491,0.901823932,-0.716607052,-0.684140964,-1.252113673,-1.379782314,-0.537816548,-0.929974068,1.888102442,0.711087479
TCGA-BC-A10T,-0.294510295,1.148249782,-0.334317949,-0.160596428,-0.438389068,-0.559219882,-0.480294518,0.1423444,0.956030756,-0.418793176,-0.135934758,1.458406837,-0.993948146,0.134244838,0.058454256,0.678403122,-1.042193195,-0.54619172,-0.472908944,1.706844084,-0.358866725,0.209049308,-0.024165318,0.013810075,2.597053747,-1.26097658,-0.512364151,-0.124368191,-0.893821109,-0.154964333,0.465367852,-0.021367437,-1.024893185,-0.327981269,-0.030153156,-0.739117059,0.674066438,0.856035484,-0.11725568,0.570742518,2.055905002,1.002470924,-0.105303042,-0.093867814,1.581787451,1.761719289,0.870787592,-1.14937837,-0.198631694,-0.197286699
TCGA-FV-A23B,0.708923439,-0.130779212,-0.781718053,-0.539254057,0.40028135,-0.31462136,0.128677657,-0.398684754,0.17525744,-1.147906046,3.168556974,-0.719998267,-0.328350515,0.106844398,-0.113275489,-0.364164026,2.793622782,0.86047306,-0.586765895,-0.321740909,-0.581968068,-0.768162669,1.171121754,1.088779646,-0.64138433,-0.113725566,-0.722859227,-0.812512543,2.328071256,-0.598319845,1.717091191,0.443979336,-0.36917437,0.221896052,2.682431401,0.396784009,1.063148214,0.325319053,-0.365467813,-0.378345808,1.175652357,0.901823932,-0.252862216,-0.28430948,1.278421214,-1.183081229,-0.081401187,0.848965848,-0.689056326,0.30324095
TCGA-BC-A10X,1.465079726,0.929642535,0.001734704,-0.640446533,-1.123491993,-0.550796915,0.631614259,1.643504722,-1.130236214,0.095306096,0.026062641,-0.317516123,-1.284554405,-0.826617779,-0.895111727,1.285167366,1.393329603,0.985619115,-0.63875021,0.956793921,-0.638847972,1.023565244,1.61734578,-0.328647076,0.530886379,-1.332410433,-0.623192998,-0.303967291,-0.907045978,-0.237465763,-1.270931221,1.702562695,-0.908054922,0.932312653,0.01294726,-0.526909827,-0.77996409,-0.549558942,-0.057023069,3.387058963,0.095779882,-0.009282449,-0.435980731,-1.156218403,-0.237732816,0.082681058,-0.290934191,-0.732680487,-0.66864896,0.046707439
TCGA-DD-A39W,0.708923439,-0.048416358,3.995966567,-0.528003869,1.786342252,-0.3715318,-0.50110786,-0.684330853,-0.65879749,-1.018136258,-0.787148186,-0.731594909,-0.516569502,0.134244838,-0.028303785,-0.733581916,0.646354525,-0.79648383,0.857635255,-0.608481825,-0.39773037,1.313613014,-0.089265406,-0.116753661,-0.9894642,-0.34233185,-0.088782677,-0.950978427,-0.447056225,-0.864476633,0.548417126,-1.08066403,-0.894968007,0.589198061,-0.466600306,-0.404114862,-0.365929045,-0.006844019,-0.695384195,-0.842573794,-1.036918027,-1.279383638,-1.067824273,-1.469793666,-1.425465808,-0.120778753,1.203542073,1.486311422,-0.790877204,-1.161991596
TCGA-DD-A1EL,-0.925364017,0.349946316,-0.218741567,-0.533688175,0.099158929,-0.195092812,0.998588006,-0.634664459,-1.088251056,0.652466674,0.681305855,1.940822071,-1.297413089,1.586737539,1.681800042,-0.830418382,0.346622775,-0.914115341,0.686849828,-1.110153819,-0.786924465,-0.763717657,-0.812164809,-0.647266218,0.699123735,-1.233145209,-0.248846641,1.275117733,0.003244021,0.377964161,2.17773005,-0.99765862,0.241834394,-0.051058321,-1.080085742,0.292474991,-0.365929045,0.356797024,-0.701582964,-0.594985535,-0.533054971,-1.019150208,-0.588905692,0.113092252,3.324111846,-0.688799126,-0.92775634,0.102310061,-0.66173853,-1.068525043
TCGA-BC-A216,-0.363642122,-0.241416723,0.484024865,-0.66809831,0.881368894,0.682059432,-1.178196426,-0.589475761,0.517069341,2.959615313,-0.809043357,-1.186832892,-0.147364537,2.523624771,-0.962268341,0.055065554,1.325422777,2.49228513,-0.668838958,-0.856000613,1.879481898,-0.867938066,-0.205662717,0.809734715,-0.733139951,-0.113725566,0.031414795,0.452094697,-0.097055481,-0.693324598,0.19242911,1.014982772,-0.311463219,1.286393043,0.168495815,-0.812362064,-0.721010514,-0.955266988,0.551240423,1.354772004,0.856108741,0.404227145,0.491333014,-0.815994239,0.862646951,0.760163219,-0.094457767,-0.454890909,0.018614973,-0.927532892
